REF_DATE,GEO,violations,VALUE
2018,"Canada, selected police services",Other Crimes,1863
2019,"Canada, selected police services",Other Crimes,1447
2020,"Canada, selected police services",Other Crimes,2571
2021,"Canada, selected police services",Other Crimes,3160
2022,"Canada, selected police services",Other Crimes,4570
2018,"Canada, selected police services",Fraud,16641
2019,"Canada, selected police services",Fraud,22746
2020,"Canada, selected police services",Fraud,29781
2021,"Canada, selected police services",Fraud,34080
2022,"Canada, selected police services",Fraud,36839
2018,"Canada, selected police services",Other Crimes,1369
2019,"Canada, selected police services",Other Crimes,1950
2020,"Canada, selected police services",Other Crimes,4782
2021,"Canada, selected police services",Other Crimes,5316
2022,"Canada, selected police services",Other Crimes,3735
2018,"Canada, selected police services",Other Crimes,2708
2019,"Canada, selected police services",Other Crimes,4996
2020,"Canada, selected police services",Other Crimes,6187
2021,"Canada, selected police services",Other Crimes,6711
2022,"Canada, selected police services",Other Crimes,5583
2018,"Canada, selected police services",Making or distribution of child pornography,3113
2019,"Canada, selected police services",Making or distribution of child pornography,4242
2020,"Canada, selected police services",Making or distribution of child pornography,5899
2021,"Canada, selected police services",Making or distribution of child pornography,5531
2022,"Canada, selected police services",Making or distribution of child pornography,7435
2018,"Canada, selected police services",Other Crimes,1
2019,"Canada, selected police services",Other Crimes,5
2020,"Canada, selected police services",Other Crimes,3
2021,"Canada, selected police services",Other Crimes,4
2022,"Canada, selected police services",Other Crimes,7
2018,"Canada, selected police services",Other Crimes,104
2019,"Canada, selected police services",Other Crimes,121
2020,"Canada, selected police services",Other Crimes,143
2021,"Canada, selected police services",Other Crimes,157
2022,"Canada, selected police services",Other Crimes,156
2018,"Canada, selected police services",Other Crimes,21
2019,"Canada, selected police services",Other Crimes,29
2020,"Canada, selected police services",Other Crimes,26
2021,"Canada, selected police services",Other Crimes,34
2022,"Canada, selected police services",Other Crimes,37
2018,"Canada, selected police services",Other Crimes,1280
2019,"Canada, selected police services",Other Crimes,1461
2020,"Canada, selected police services",Other Crimes,1757
2021,"Canada, selected police services",Other Crimes,1846
2022,"Canada, selected police services",Other Crimes,1935
2018,"Canada, selected police services",Other Crimes,77
2019,"Canada, selected police services",Other Crimes,89
2020,"Canada, selected police services",Other Crimes,106
2021,"Canada, selected police services",Other Crimes,137
2022,"Canada, selected police services",Other Crimes,137
2018,"Canada, selected police services",Other Crimes,569
2019,"Canada, selected police services",Other Crimes,726
2020,"Canada, selected police services",Other Crimes,858
2021,"Canada, selected police services",Other Crimes,870
2022,"Canada, selected police services",Other Crimes,896
2018,"Canada, selected police services",Other Crimes,1396
2019,"Canada, selected police services",Other Crimes,2720
2020,"Canada, selected police services",Other Crimes,3184
2021,"Canada, selected police services",Other Crimes,3347
2022,"Canada, selected police services",Other Crimes,2868
2018,"Canada, selected police services",Other Crimes,251
2019,"Canada, selected police services",Other Crimes,309
2020,"Canada, selected police services",Other Crimes,287
2021,"Canada, selected police services",Other Crimes,357
2022,"Canada, selected police services",Other Crimes,308
2018,"Canada, selected police services",Other Crimes,284
2019,"Canada, selected police services",Other Crimes,388
2020,"Canada, selected police services",Other Crimes,742
2021,"Canada, selected police services",Other Crimes,864
2022,"Canada, selected police services",Other Crimes,766
2018,"Canada, selected police services",Other Crimes,152
2019,"Canada, selected police services",Other Crimes,177
2020,"Canada, selected police services",Other Crimes,279
2021,"Canada, selected police services",Other Crimes,291
2022,"Canada, selected police services",Other Crimes,284
2018,"Canada, selected police services",Other Crimes,181
2019,"Canada, selected police services",Other Crimes,266
2020,"Canada, selected police services",Other Crimes,327
2021,"Canada, selected police services",Other Crimes,360
2022,"Canada, selected police services",Other Crimes,294
2018,"Canada, selected police services",Other Crimes,473
2019,"Canada, selected police services",Other Crimes,563
2020,"Canada, selected police services",Other Crimes,748
2021,"Canada, selected police services",Other Crimes,890
2022,"Canada, selected police services",Other Crimes,1105
2018,"Canada, selected police services",Other Crimes,20
2019,"Canada, selected police services",Other Crimes,36
2020,"Canada, selected police services",Other Crimes,30
2021,"Canada, selected police services",Other Crimes,38
2022,"Canada, selected police services",Other Crimes,40
2018,"Canada, selected police services",Other Crimes,621
2019,"Canada, selected police services",Other Crimes,1133
2020,"Canada, selected police services",Other Crimes,1598
2021,"Canada, selected police services",Other Crimes,1903
2022,"Canada, selected police services",Other Crimes,1696
2018,"Canada, selected police services",Other Crimes,20
2019,"Canada, selected police services",Other Crimes,30
2020,"Canada, selected police services",Other Crimes,34
2021,"Canada, selected police services",Other Crimes,25
2022,"Canada, selected police services",Other Crimes,25
2018,"Canada, selected police services",Other Crimes,98
2019,"Canada, selected police services",Other Crimes,123
2020,"Canada, selected police services",Other Crimes,111
2021,"Canada, selected police services",Other Crimes,117
2022,"Canada, selected police services",Other Crimes,185
2018,"Canada, selected police services",Other Crimes,82
2019,"Canada, selected police services",Other Crimes,108
2020,"Canada, selected police services",Other Crimes,148
2021,"Canada, selected police services",Other Crimes,168
2022,"Canada, selected police services",Other Crimes,137
2018,"Canada, selected police services",Other Crimes,142
2019,"Canada, selected police services",Other Crimes,119
2020,"Canada, selected police services",Other Crimes,160
2021,"Canada, selected police services",Other Crimes,225
2022,"Canada, selected police services",Other Crimes,249
2018,"Canada, selected police services",Other Crimes,136
2019,"Canada, selected police services",Other Crimes,171
2020,"Canada, selected police services",Other Crimes,223
2021,"Canada, selected police services",Other Crimes,255
2022,"Canada, selected police services",Other Crimes,288
2018,"Canada, selected police services",Other Crimes,67
2019,"Canada, selected police services",Other Crimes,35
2020,"Canada, selected police services",Other Crimes,29
2021,"Canada, selected police services",Other Crimes,34
2022,"Canada, selected police services",Other Crimes,38
2018,"Canada, selected police services","Total, all violations",33893
2019,"Canada, selected police services","Total, all violations",48318
2020,"Canada, selected police services","Total, all violations",65141
2021,"Canada, selected police services","Total, all violations",71727
2022,"Canada, selected police services","Total, all violations",74073
2018,"Canada, selected police services",Other Crimes,2224
2019,"Canada, selected police services",Other Crimes,4328
2020,"Canada, selected police services",Other Crimes,5128
2021,"Canada, selected police services",Other Crimes,5007
2022,"Canada, selected police services",Other Crimes,4460
